Species,Match type,ScientificName,ScientificName_accepted
Clinocottus acuticeps,exact,Clinocottus acuticeps,Clinocottus acuticeps
Clupea harengus,exact,Clupea harengus,Clupea harengus
Clupea pallasii pallasii,exact,Clupea pallasii pallasii,Clupea pallasii pallasii
Coelorinchus caelorhincus,exact,Coelorinchus caelorhincus,Coelorinchus caelorhincus
Coelorinchus caribbaeus,exact,Coelorinchus caribbaeus,Coelorinchus caribbaeus
Coelorinchus labiatus,exact,Coelorinchus labiatus,Coelorinchus labiatus
Coelorinchus scaphopsis,exact,Coelorinchus scaphopsis,Coelorinchus scaphopsis
Cololabis saira,exact,Cololabis saira,Cololabis saira
Conger conger,exact,Conger conger,Conger conger
Conger oceanicus,exact,Conger oceanicus,Conger oceanicus
Conodon nobilis,exact,Conodon nobilis,Conodon nobilis
Cookeolus japonicus,exact,Cookeolus japonicus,Cookeolus japonicus
Coregonus albula,exact,Coregonus albula,Coregonus albula
Coregonus lavaretus,exact,Coregonus lavaretus,Coregonus lavaretus
Corniger spinosus,exact,Corniger spinosus,Corniger spinosus
Corvula batabana,exact,Corvula batabana,Corvula batabana
Coryphaena equiselis,exact,Coryphaena equiselis,Coryphaena equiselis
Coryphaena hippurus,exact,Coryphaena hippurus,Coryphaena hippurus
Coryphaenoides acrolepis,exact,Coryphaenoides acrolepis,Coryphaenoides acrolepis
Coryphaenoides cinereus,exact,Coryphaenoides cinereus,Coryphaenoides cinereus
Coryphaenoides filifer,exact,Coryphaenoides filifer,Coryphaenoides filifer
Coryphaenoides guentheri,exact,Coryphaenoides guentheri,Coryphaenoides guentheri
Coryphaenoides liocephalus,exact,Coryphaenoides liocephalus,Coryphaenoides liocephalus
Coryphaenoides longifilis,exact,Coryphaenoides longifilis,Coryphaenoides longifilis
Coryphaenoides rupestris,exact,Coryphaenoides rupestris,Coryphaenoides rupestris
Coryphopterus punctipectophorus,exact,Coryphopterus punctipectophorus,Coryphopterus punctipectophorus
Cosmocampus albirostris,exact,Cosmocampus albirostris,Cosmocampus albirostris
Cottunculus microps,exact,Cottunculus microps,Cottunculus microps
Cottunculus sadko,exact,Cottunculus sadko,Cottunculus sadko
Cottunculus thomsonii,exact,Cottunculus thomsonii,Cottunculus thomsonii
Cottus gobio,exact,Cottus gobio,Cottus gobio
Cryptacanthodes aleutensis,exact,Cryptacanthodes aleutensis,Cryptacanthodes aleutensis
Cryptacanthodes giganteus,exact,Cryptacanthodes giganteus,Cryptacanthodes giganteus
Cryptacanthodes maculatus,exact,Cryptacanthodes maculatus,Cryptacanthodes maculatus
Cryptopsaras couesii,exact,Cryptopsaras couesii,Cryptopsaras couesii
Cryptotomus roseus,exact,Cryptotomus roseus,Cryptotomus roseus
Crystallichthys cyclospilus,exact,Crystallichthys cyclospilus,Crystallichthys cyclospilus
Crystallogobius linearis,exact,Crystallogobius linearis,Crystallogobius linearis
Ctenogobius boleosoma,exact,Ctenogobius boleosoma,Ctenogobius boleosoma
Ctenolabrus rupestris,exact,Ctenolabrus rupestris,Ctenolabrus rupestris
Cubiceps pauciradiatus,exact,Cubiceps pauciradiatus,Cubiceps pauciradiatus
Cyclopsetta chittendeni,exact,Cyclopsetta chittendeni,Cyclopsetta chittendeni
Cyclopsetta fimbriata,exact,Cyclopsetta fimbriata,Cyclopsetta fimbriata
Cyclopteropsis mcalpini,exact,Cyclopteropsis mcalpini,Cyclopteropsis mcalpini
Cyclopterus lumpus,exact,Cyclopterus lumpus,Cyclopterus lumpus
Cyclothone acclinidens,exact,Cyclothone acclinidens,Cyclothone acclinidens
Cyclothone atraria,exact,Cyclothone atraria,Cyclothone atraria
Cymatogaster aggregata,exact,Cymatogaster aggregata,Cymatogaster aggregata
Cynoscion arenarius,exact,Cynoscion arenarius,Cynoscion arenarius
Cynoscion nebulosus,exact,Cynoscion nebulosus,Cynoscion nebulosus
Cynoscion nothus,exact,Cynoscion nothus,Cynoscion nothus
Cynoscion regalis,exact,Cynoscion regalis,Cynoscion regalis
Cyttopsis rosea,exact,Cyttopsis rosea,Cyttopsis rosea
Dactylopterus volitans,exact,Dactylopterus volitans,Dactylopterus volitans
Dalatias licha,exact,Dalatias licha,Dalatias licha
Dasyatis centroura,exact,Dasyatis centroura,Dasyatis centroura
Dasyatis pastinaca,exact,Dasyatis pastinaca,Dasyatis pastinaca
Dasyatis tortonesei,exact,Dasyatis tortonesei,Dasyatis tortonesei
Dasycottus setiger,exact,Dasycottus setiger,Dasycottus setiger
Deania calcea,exact,Deania calcea,Deania calcea
Deania profundorum,exact,Deania profundorum,Deania profundorum
Decapterus macarellus,exact,Decapterus macarellus,Decapterus macarellus
Decapterus punctatus,exact,Decapterus punctatus,Decapterus punctatus
Decapterus tabl,exact,Decapterus tabl,Decapterus tabl
Decodon puellaris,exact,Decodon puellaris,Decodon puellaris
Deltentosteus quadrimaculatus,exact,Deltentosteus quadrimaculatus,Deltentosteus quadrimaculatus
Dentex dentex,exact,Dentex dentex,Dentex dentex
Dentex maroccanus,exact,Dentex maroccanus,Dentex maroccanus
Desmodema lorum,exact,Desmodema lorum,Desmodema lorum
Diaphus dumerilii,exact,Diaphus dumerilii,Diaphus dumerilii
Diaphus splendidus,exact,Diaphus splendidus,Diaphus splendidus
Diaphus theta,exact,Diaphus theta,Diaphus theta
Dibranchus atlanticus,exact,Dibranchus atlanticus,Dibranchus atlanticus
Dicentrarchus labrax,exact,Dicentrarchus labrax,Dicentrarchus labrax
Dicentrarchus punctatus,exact,Dicentrarchus punctatus,Dicentrarchus punctatus
Dicologlossa cuneata,exact,Dicologlossa cuneata,Dicologlossa cuneata
Dicrolene filamentosa,exact,Dicrolene filamentosa,Dicrolene filamentosa
Dicrolene introniger,exact,Dicrolene introniger,Dicrolene introniger
Diodon holocanthus,exact,Diodon holocanthus,Diodon holocanthus
Diodon hystrix,exact,Diodon hystrix,Diodon hystrix
Diplectrum bivittatum,exact,Diplectrum bivittatum,Diplectrum bivittatum
Diplectrum formosum,exact,Diplectrum formosum,Diplectrum formosum
Diplodus annularis,exact,Diplodus annularis,Diplodus annularis
Diplodus bellottii,exact,Diplodus bellottii,Diplodus bellottii
Diplodus holbrookii,exact,Diplodus holbrookii,Diplodus holbrookii
Diplodus puntazzo,exact,Diplodus puntazzo,Diplodus puntazzo
Diplodus vulgaris,exact,Diplodus vulgaris,Diplodus vulgaris
Diplogrammus pauciradiatus,exact,Diplogrammus pauciradiatus,Diplogrammus pauciradiatus
Dipturus batis,exact,Dipturus batis,Dipturus batis
Dipturus laevis,exact,Dipturus laevis,Dipturus laevis
Dipturus linteus,exact,Dipturus linteus,Dipturus linteus
Dipturus nidarosiensis,exact,Dipturus nidarosiensis,Dipturus nidarosiensis
Dipturus olseni,exact,Dipturus olseni,Dipturus olseni
Dipturus oxyrinchus,exact,Dipturus oxyrinchus,Dipturus oxyrinchus
Dolichopteryx longipes,exact,Dolichopteryx longipes,Dolichopteryx longipes
Dorosoma cepedianum,exact,Dorosoma cepedianum,Dorosoma cepedianum
Dorosoma petenense,exact,Dorosoma petenense,Dorosoma petenense
Dysomma anguilla,near_2,Dysomma anguillare,Dysomma anguillare
Echeneis naucrates,exact,Echeneis naucrates,Echeneis naucrates
Echeneis neucratoides,exact,Echeneis neucratoides,Echeneis neucratoides
Echiichthys vipera,exact,Echiichthys vipera,Echiichthys vipera
Echiodon dawsoni,exact,Echiodon dawsoni,Echiodon dawsoni
Echiodon drummondii,exact,Echiodon drummondii,Echiodon drummondii
Echiophis intertinctus,exact,Echiophis intertinctus,Echiophis intertinctus
Echiophis punctifer,exact,Echiophis punctifer,Echiophis punctifer
Elacatinus horsti,exact,Elacatinus horsti,Elacatinus horsti
Elacatinus macrodon,exact,Elacatinus macrodon,Elacatinus macrodon
Elacatinus oceanops,exact,Elacatinus oceanops,Elacatinus oceanops
Elacatinus xanthiprora,exact,Elacatinus xanthiprora,Elacatinus xanthiprora
Elagatis bipinnulata,exact,Elagatis bipinnulata,Elagatis bipinnulata
Elassodiscus caudatus,exact,Elassodiscus caudatus,Elassodiscus caudatus
Elassodiscus tremebundus,exact,Elassodiscus tremebundus,Elassodiscus tremebundus
Eleginus gracilis,exact,Eleginus gracilis,Eleginus gracilis
Elops saurus,exact,Elops saurus,Elops saurus
Embassichthys bathybius,exact,Embassichthys bathybius,Embassichthys bathybius
Embiotoca lateralis,exact,Embiotoca lateralis,Embiotoca lateralis
Emblemaria atlantica,exact,Emblemaria atlantica,Emblemaria atlantica
Emblemaria piratula,exact,Emblemaria piratula,Emblemaria piratula
Enchelyopus cimbrius,exact,Enchelyopus cimbrius,Enchelyopus cimbrius
Engraulis encrasicolus,exact,Engraulis encrasicolus,Engraulis encrasicolus
Engraulis eurystole,exact,Engraulis eurystole,Engraulis eurystole
Engraulis mordax,exact,Engraulis mordax,Engraulis mordax
Engyophrys senta,exact,Engyophrys senta,Engyophrys senta
Enophrys bison,exact,Enophrys bison,Enophrys bison
Enophrys diceraus,exact,Enophrys diceraus,Enophrys diceraus
Enophrys lucasi,exact,Enophrys lucasi,Enophrys lucasi
Enophrys taurina,exact,Enophrys taurina,Enophrys taurina
Entelurus aequoreus,exact,Entelurus aequoreus,Entelurus aequoreus
Entosphenus tridentatus,exact,Entosphenus tridentatus,Entosphenus tridentatus
Eopsetta jordani,exact,Eopsetta jordani,Eopsetta jordani
Ephippion guttifer,exact,Ephippion guttifer,Ephippion guttifer
Epigonus denticulatus,exact,Epigonus denticulatus,Epigonus denticulatus
Epigonus macrops,exact,Epigonus macrops,Epigonus macrops
Epigonus pandionis,exact,Epigonus pandionis,Epigonus pandionis
Epigonus telescopus,exact,Epigonus telescopus,Epigonus telescopus
Epinephelus adscensionis,exact,Epinephelus adscensionis,Epinephelus adscensionis
Epinephelus drummondhayi,exact,Epinephelus drummondhayi,Epinephelus drummondhayi
Epinephelus guttatus,exact,Epinephelus guttatus,Epinephelus guttatus
Epinephelus itajara,exact,Epinephelus itajara,Epinephelus itajara
Epinephelus morio,exact,Epinephelus morio,Epinephelus morio
Eptatretus deani,exact,Eptatretus deani,Eptatretus deani
Eptatretus stoutii,exact,Eptatretus stoutii,Eptatretus stoutii
Equetus lanceolatus,exact,Equetus lanceolatus,Equetus lanceolatus
Equetus punctatus,exact,Equetus punctatus,Equetus punctatus
Erilepis zonifer,exact,Erilepis zonifer,Erilepis zonifer
Esox lucius,exact,Esox lucius,Esox lucius
Etelis oculatus,exact,Etelis oculatus,Etelis oculatus
Etmopterus gracilispinis,exact,Etmopterus gracilispinis,Etmopterus gracilispinis
Etmopterus princeps,exact,Etmopterus princeps,Etmopterus princeps
Etmopterus pusillus,exact,Etmopterus pusillus,Etmopterus pusillus
Etmopterus spinax,exact,Etmopterus spinax,Etmopterus spinax
Etropus crossotus,exact,Etropus crossotus,Etropus crossotus
Etropus cyclosquamus,exact,Etropus cyclosquamus,Etropus cyclosquamus
Etropus microstomus,exact,Etropus microstomus,Etropus microstomus
Etropus rimosus,exact,Etropus rimosus,Etropus rimosus
Etrumeus teres,exact,Etrumeus teres,Etrumeus teres
Eucinostomus argenteus,exact,Eucinostomus argenteus,Eucinostomus argenteus
Eucinostomus gula,exact,Eucinostomus gula,Eucinostomus gula
Eucinostomus harengulus,exact,Eucinostomus harengulus,Eucinostomus harengulus
Eucinostomus melanopterus,exact,Eucinostomus melanopterus,Eucinostomus melanopterus
Eucryphycus californicus,exact,Eucryphycus californicus,Eucryphycus californicus
Euleptorhamphus velox,exact,Euleptorhamphus velox,Euleptorhamphus velox
Eumecichthys fiski,exact,Eumecichthys fiski,Eumecichthys fiski
Eumesogrammus praecisus,exact,Eumesogrammus praecisus,Eumesogrammus praecisus
Eumicrotremus andriashevi,exact,Eumicrotremus andriashevi,Eumicrotremus andriashevi
Eumicrotremus asperrimus,exact,Eumicrotremus asperrimus,Eumicrotremus asperrimus
Eumicrotremus barbatus,exact,Eumicrotremus barbatus,Eumicrotremus barbatus
Eumicrotremus derjugini,exact,Eumicrotremus derjugini,Eumicrotremus derjugini
Eumicrotremus gyrinops,exact,Eumicrotremus gyrinops,Eumicrotremus gyrinops
Eumicrotremus orbis,exact,Eumicrotremus orbis,Eumicrotremus orbis
Eumicrotremus phrynoides,exact,Eumicrotremus phrynoides,Eumicrotremus phrynoides
Eumicrotremus spinosus,exact,Eumicrotremus spinosus,Eumicrotremus spinosus
Eurymen gyrinus,exact,Eurymen gyrinus,Eurymen gyrinus
Eurypharynx pelecanoides,exact,Eurypharynx pelecanoides,Eurypharynx pelecanoides
Euthynnus alletteratus,exact,Euthynnus alletteratus,Euthynnus alletteratus
Eutrigla gurnardus,exact,Eutrigla gurnardus,Eutrigla gurnardus
Evermannichthys metzelaari,exact,Evermannichthys metzelaari,Evermannichthys metzelaari
Facciolella gilbertii,exact,Facciolella gilbertii,Facciolella gilbertii
Facciolella oxyrhyncha,exact,Facciolella oxyrhyncha,Facciolella oxyrhyncha
Fenestraja plutonia,exact,Fenestraja plutonia,Fenestraja plutonia
Fistularia petimba,exact,Fistularia petimba,Fistularia petimba
Fistularia tabacaria,exact,Fistularia tabacaria,Fistularia tabacaria
Foetorepus agassizii,exact,Foetorepus agassizii,Foetorepus agassizii
Fowlerichthys ocellatus,exact,Fowlerichthys ocellatus,Fowlerichthys ocellatus
Fowlerichthys radiosus,exact,Fowlerichthys radiosus,Fowlerichthys radiosus
Gadella imberbis,exact,Gadella imberbis,Gadella imberbis
Gadiculus argenteus,exact,Gadiculus argenteus,Gadiculus argenteus
Gadiculus thori,exact,Gadiculus thori,Gadiculus thori
Gadus chalcogrammus,exact,Gadus chalcogrammus,Gadus chalcogrammus
Gadus macrocephalus,exact,Gadus macrocephalus,Gadus macrocephalus
Gadus morhua,exact,Gadus morhua,Gadus morhua
Gaidropsarus argentatus,exact,Gaidropsarus argentatus,Gaidropsarus argentatus
Gaidropsarus biscayensis,exact,Gaidropsarus biscayensis,Gaidropsarus biscayensis
Gaidropsarus ensis,exact,Gaidropsarus ensis,Gaidropsarus ensis
Gaidropsarus macrophthalmus,exact,Gaidropsarus macrophthalmus,Gaidropsarus macrophthalmus
Gaidropsarus mediterraneus,exact,Gaidropsarus mediterraneus,Gaidropsarus mediterraneus
Gaidropsarus vulgaris,exact,Gaidropsarus vulgaris,Gaidropsarus vulgaris
Galeocerdo cuvier,exact,Galeocerdo cuvier,Galeocerdo cuvier
Galeorhinus galeus,exact,Galeorhinus galeus,Galeorhinus galeus
Galeus melastomus,exact,Galeus melastomus,Galeus melastomus
Galeus murinus,exact,Galeus murinus,Galeus murinus
Gasterosteus aculeatus,exact,Gasterosteus aculeatus,Gasterosteus aculeatus
Gastropsetta frontalis,exact,Gastropsetta frontalis,Gastropsetta frontalis
Gempylus serpens,exact,Gempylus serpens,Gempylus serpens
Genyonemus lineatus,exact,Genyonemus lineatus,Genyonemus lineatus
Gephyroberyx darwinii,exact,Gephyroberyx darwinii,Gephyroberyx darwinii
Gerres cinereus,exact,Gerres cinereus,Gerres cinereus
Gibbonsia metzi,exact,Gibbonsia metzi,Gibbonsia metzi
Gigantactis vanhoeffeni,exact,Gigantactis vanhoeffeni,Gigantactis vanhoeffeni
Ginglymostoma cirratum,exact,Ginglymostoma cirratum,Ginglymostoma cirratum
Glyptocephalus cynoglossus,exact,Glyptocephalus cynoglossus,Glyptocephalus cynoglossus
Glyptocephalus zachirus,exact,Glyptocephalus zachirus,Glyptocephalus zachirus
Gnatholepis thompsoni,exact,Gnatholepis thompsoni,Gnatholepis thompsoni
Gnathophis bracheatopos,exact,Gnathophis bracheatopos,Gnathophis bracheatopos
Gnathophis mystax,exact,Gnathophis mystax,Gnathophis mystax
Gobiesox punctulatus,exact,Gobiesox punctulatus,Gobiesox punctulatus
Gobiesox strumosus,exact,Gobiesox strumosus,Gobiesox strumosus
Gobioides broussonneti,phonetic,Gobioides broussonnetii,Gobioides broussonnetii
Gobionellus oceanicus,exact,Gobionellus oceanicus,Gobionellus oceanicus
Gobiosoma bosc,exact,Gobiosoma bosc,Gobiosoma bosc
Gobiosoma ginsburgi,exact,Gobiosoma ginsburgi,Gobiosoma ginsburgi
Gobiosoma longipala,exact,Gobiosoma longipala,Gobiosoma longipala
Gobius cobitis,exact,Gobius cobitis,Gobius cobitis
Gobius niger,exact,Gobius niger,Gobius niger
Gobius paganellus,exact,Gobius paganellus,Gobius paganellus
Gobiusculus flavescens,exact,Gobiusculus flavescens,Gobiusculus flavescens
Gonostoma atlanticum,exact,Gonostoma atlanticum,Gonostoma atlanticum
Grammatostomias dentatus,exact,Grammatostomias dentatus,Grammatostomias dentatus
Grammicolepis brachiusculus,exact,Grammicolepis brachiusculus,Grammicolepis brachiusculus
Gunterichthys longipenis,exact,Gunterichthys longipenis,Gunterichthys longipenis
Gymnachirus melas,exact,Gymnachirus melas,Gymnachirus melas
Gymnachirus nudus,exact,Gymnachirus nudus,Gymnachirus nudus
Gymnachirus texae,exact,Gymnachirus texae,Gymnachirus texae
Gymnammodytes semisquamatus,exact,Gymnammodytes semisquamatus,Gymnammodytes semisquamatus
Gymnelus hemifasciatus,exact,Gymnelus hemifasciatus,Gymnelus hemifasciatus
Gymnelus retrodorsalis,exact,Gymnelus retrodorsalis,Gymnelus retrodorsalis
Gymnelus viridis,exact,Gymnelus viridis,Gymnelus viridis
Gymnocanthus detrisus,exact,Gymnocanthus detrisus,Gymnocanthus detrisus
Gymnocanthus galeatus,exact,Gymnocanthus galeatus,Gymnocanthus galeatus
Gymnocanthus pistilliger,exact,Gymnocanthus pistilliger,Gymnocanthus pistilliger
Gymnocanthus tricuspis,exact,Gymnocanthus tricuspis,Gymnocanthus tricuspis
Gymnocephalus cernuus,exact,Gymnocephalus cernuus,Gymnocephalus cernua
Gymnothorax funebris,exact,Gymnothorax funebris,Gymnothorax funebris
Gymnothorax kolpos,exact,Gymnothorax kolpos,Gymnothorax kolpos
Gymnothorax moringa,exact,Gymnothorax moringa,Gymnothorax moringa
Gymnothorax nigromarginatus,exact,Gymnothorax nigromarginatus,Gymnothorax nigromarginatus
Gymnothorax ocellatus,exact,Gymnothorax ocellatus,Gymnothorax ocellatus
Gymnothorax saxicola,exact,Gymnothorax saxicola,Gymnothorax saxicola
Gymnothorax vicinus,exact,Gymnothorax vicinus,Gymnothorax vicinus
Gymnura altavela,exact,Gymnura altavela,Gymnura altavela
Gymnura micrura,exact,Gymnura micrura,Gymnura micrura
Haemulon aurolineatum,exact,Haemulon aurolineatum,Haemulon aurolineatum
Haemulon carbonarium,exact,Haemulon carbonarium,Haemulon carbonarium
Haemulon plumierii,exact,Haemulon plumierii,Haemulon plumierii
Haemulon sciurus,exact,Haemulon sciurus,Haemulon sciurus
Haemulon striatum,exact,Haemulon striatum,Haemulon striatum
Halargyreus johnsonii,exact,Halargyreus johnsonii,Halargyreus johnsonii
Halichoeres bathyphilus,exact,Halichoeres bathyphilus,Halichoeres bathyphilus
Halichoeres bivittatus,exact,Halichoeres bivittatus,Halichoeres bivittatus
Halichoeres caudalis,exact,Halichoeres caudalis,Halichoeres caudalis
Halichoeres garnoti,exact,Halichoeres garnoti,Halichoeres garnoti
Halichoeres radiatus,exact,Halichoeres radiatus,Halichoeres radiatus
Halieutichthys aculeatus,exact,Halieutichthys aculeatus,Halieutichthys aculeatus
Harengula jaguana,exact,Harengula jaguana,Harengula jaguana
Harriotta raleighana,exact,Harriotta raleighana,Harriotta raleighana
Helicolenus dactylopterus,exact,Helicolenus dactylopterus,Helicolenus dactylopterus
Hemanthias aureorubens,exact,Hemanthias aureorubens,Hemanthias aureorubens
Hemanthias leptus,exact,Hemanthias leptus,Hemanthias leptus
Hemanthias vivanus,exact,Hemanthias vivanus,Hemanthias vivanus
Hemicaranx amblyrhynchus,exact,Hemicaranx amblyrhynchus,Hemicaranx amblyrhynchus
Hemilepidotus gilberti,exact,Hemilepidotus gilberti,Hemilepidotus gilberti
Hemilepidotus hemilepidotus,exact,Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus
Hemilepidotus jordani,exact,Hemilepidotus jordani,Hemilepidotus jordani
Hemilepidotus papilio,exact,Hemilepidotus papilio,Hemilepidotus papilio
Hemilepidotus spinosus,exact,Hemilepidotus spinosus,Hemilepidotus spinosus
Hemilepidotus zapus,exact,Hemilepidotus zapus,Hemilepidotus zapus
Hemiramphus balao,exact,Hemiramphus balao,Hemiramphus balao
Hemiramphus brasiliensis,exact,Hemiramphus brasiliensis,Hemiramphus brasiliensis
Hemitripterus americanus,exact,Hemitripterus americanus,Hemitripterus americanus
Hemitripterus bolini,exact,Hemitripterus bolini,Hemitripterus bolini
Heptranchias perlo,exact,Heptranchias perlo,Heptranchias perlo
Heterodontus francisci,exact,Heterodontus francisci,Heterodontus francisci
Heteropriacanthus cruentatus,exact,Heteropriacanthus cruentatus,Heteropriacanthus cruentatus
Hexagrammos decagrammus,exact,Hexagrammos decagrammus,Hexagrammos decagrammus
Hexagrammos lagocephalus,exact,Hexagrammos lagocephalus,Hexagrammos lagocephalus
Hexagrammos octogrammus,exact,Hexagrammos octogrammus,Hexagrammos octogrammus
Hexagrammos stelleri,exact,Hexagrammos stelleri,Hexagrammos stelleri
Hexanchus griseus,exact,Hexanchus griseus,Hexanchus griseus
Hippocampus erectus,exact,Hippocampus erectus,Hippocampus erectus
Hippocampus guttulatus,exact,Hippocampus guttulatus,Hippocampus guttulatus
Hippocampus hippocampus,exact,Hippocampus hippocampus,Hippocampus hippocampus
Hippocampus reidi,exact,Hippocampus reidi,Hippocampus reidi
Hippocampus zosterae,exact,Hippocampus zosterae,Hippocampus zosterae
Hippoglossina oblonga,exact,Hippoglossina oblonga,Hippoglossina oblonga
Hippoglossina stomata,exact,Hippoglossina stomata,Hippoglossina stomata
Hippoglossoides elassodon,exact,Hippoglossoides elassodon,Hippoglossoides elassodon
Hippoglossoides platessoides,exact,Hippoglossoides platessoides,Hippoglossoides platessoides
Hippoglossoides robustus,exact,Hippoglossoides robustus,Hippoglossoides robustus
Hippoglossus hippoglossus,exact,Hippoglossus hippoglossus,Hippoglossus hippoglossus
Hippoglossus stenolepis,exact,Hippoglossus stenolepis,Hippoglossus stenolepis
Hirundichthys affinis,exact,Hirundichthys affinis,Hirundichthys affinis
Hirundichthys rondeletii,exact,Hirundichthys rondeletii,Hirundichthys rondeletii
Histrio histrio,ambiguous,,
Holacanthus bermudensis,exact,Holacanthus bermudensis,Holacanthus bermudensis
Holacanthus ciliaris,exact,Holacanthus ciliaris,Holacanthus ciliaris
Holocentrus adscensionis,exact,Holocentrus adscensionis,Holocentrus adscensionis
Holocentrus rufus,exact,Holocentrus rufus,Holocentrus rufus
Hoplostethus atlanticus,exact,Hoplostethus atlanticus,Hoplostethus atlanticus
Hoplostethus mediterraneus,exact,Hoplostethus mediterraneus,Hoplostethus mediterraneus
Hoplostethus occidentalis,exact,Hoplostethus occidentalis,Hoplostethus occidentalis
Hoplunnis diomediana,exact,Hoplunnis diomediana,Hoplunnis diomediana
Hoplunnis macrura,exact,Hoplunnis macrura,Hoplunnis macrura
Hoplunnis tenuis,exact,Hoplunnis tenuis,Hoplunnis tenuis
Howella brodiei,exact,Howella brodiei,Howella brodiei
Howella sherborni,exact,Howella sherborni,Howella sherborni
Hydrolagus colliei,exact,Hydrolagus colliei,Hydrolagus colliei
Hydrolagus mirabilis,exact,Hydrolagus mirabilis,Hydrolagus mirabilis
Hygophum reinhardtii,exact,Hygophum reinhardtii,Hygophum reinhardtii
Hygophum taaningi,exact,Hygophum taaningi,Hygophum taaningi
Hymenocephalus italicus,exact,Hymenocephalus italicus,Hymenocephalus italicus
Hypanus americanus,exact,Hypanus americanus,Hypanus americanus
Hypanus sabinus,exact,Hypanus sabinus,Hypanus sabinus
Hypanus say,exact,Hypanus say,Hypanus say
Hyperoglyphe perciformis,exact,Hyperoglyphe perciformis,Hyperoglyphe perciformis
Hyperoplus immaculatus,exact,Hyperoplus immaculatus,Hyperoplus immaculatus
Hyperoplus lanceolatus,exact,Hyperoplus lanceolatus,Hyperoplus lanceolatus
Hyperprosopon anale,exact,Hyperprosopon anale,Hyperprosopon anale
Hypleurochilus bermudensis,exact,Hypleurochilus bermudensis,Hypleurochilus bermudensis
Hypleurochilus geminatus,exact,Hypleurochilus geminatus,Hypleurochilus geminatus
Hypomesus pretiosus,exact,Hypomesus pretiosus,Hypomesus pretiosus
Hypoplectrus puella,exact,Hypoplectrus puella,Hypoplectrus puella
Hypoplectrus unicolor,exact,Hypoplectrus unicolor,Hypoplectrus unicolor
Hyporhamphus unifasciatus,exact,Hyporhamphus unifasciatus,Hyporhamphus unifasciatus
Hyporthodus flavolimbatus,exact,Hyporthodus flavolimbatus,Hyporthodus flavolimbatus
Hyporthodus mystacinus,exact,Hyporthodus mystacinus,Hyporthodus mystacinus
Hyporthodus nigritus,exact,Hyporthodus nigritus,Hyporthodus nigritus
Hyporthodus niveatus,exact,Hyporthodus niveatus,Hyporthodus niveatus
Hypsagonus quadricornis,exact,Hypsagonus quadricornis,Hypsagonus quadricornis
Hypsoblennius hentz,exact,Hypsoblennius hentz,Hypsoblennius hentz
Icelinus borealis,exact,Icelinus borealis,Icelinus borealis
Icelinus burchami,exact,Icelinus burchami,Icelinus burchami
Icelinus filamentosus,exact,Icelinus filamentosus,Icelinus filamentosus
Icelinus fimbriatus,exact,Icelinus fimbriatus,Icelinus fimbriatus
Icelinus oculatus,exact,Icelinus oculatus,Icelinus oculatus
Icelinus tenuis,exact,Icelinus tenuis,Icelinus tenuis
Icelus bicornis,exact,Icelus bicornis,Icelus bicornis
Icelus canaliculatus,exact,Icelus canaliculatus,Icelus canaliculatus
Icelus euryops,exact,Icelus euryops,Icelus euryops
Icelus spatula,exact,Icelus spatula,Icelus spatula
Icelus spiniger,exact,Icelus spiniger,Icelus spiniger
Icelus uncinalis,exact,Icelus uncinalis,Icelus uncinalis
Icichthys lockingtoni,exact,Icichthys lockingtoni,Icichthys lockingtoni
Icosteus aenigmaticus,exact,Icosteus aenigmaticus,Icosteus aenigmaticus
Idiacanthus antrostomus,exact,Idiacanthus antrostomus,Idiacanthus antrostomus
Isopsetta isolepis,exact,Isopsetta isolepis,Isopsetta isolepis
Isurus oxyrinchus,exact,Isurus oxyrinchus,Isurus oxyrinchus
Jenkinsia lamprotaenia,exact,Jenkinsia lamprotaenia,Jenkinsia lamprotaenia
Jordania zonope,exact,Jordania zonope,Jordania zonope
Kajikia albida,exact,Kajikia albida,Kajikia albida
Kali indica,exact,Kali indica,Kali indica
Kali kerberti,exact,Kali kerberti,Kali kerberti
Kathetostoma albigutta,exact,Kathetostoma albigutta,Kathetostoma albigutta
Kathetostoma averruncus,exact,Kathetostoma averruncus,Kathetostoma averruncus
Labrisomus nuchipinnis,exact,Labrisomus nuchipinnis,Labrisomus nuchipinnis
Labrus bergylta,exact,Labrus bergylta,Labrus bergylta
Labrus mixtus,exact,Labrus mixtus,Labrus mixtus
Lachnolaimus maximus,exact,Lachnolaimus maximus,Lachnolaimus maximus
Lactophrys trigonus,exact,Lactophrys trigonus,Lactophrys trigonus
Lactophrys triqueter,exact,Lactophrys triqueter,Lactophrys triqueter
Laemonema barbatulum,exact,Laemonema barbatulum,Laemonema barbatulum
Lagocephalus laevigatus,exact,Lagocephalus laevigatus,Lagocephalus laevigatus
Lagodon rhomboides,exact,Lagodon rhomboides,Lagodon rhomboides
Lamna ditropis,exact,Lamna ditropis,Lamna ditropis
Lamna nasus,exact,Lamna nasus,Lamna nasus
Lampanyctus crocodilus,exact,Lampanyctus crocodilus,Lampanyctus crocodilus
Lampanyctus jordani,exact,Lampanyctus jordani,Lampanyctus jordani
Lampanyctus macdonaldi,exact,Lampanyctus macdonaldi,Lampanyctus macdonaldi
Lampetra ayresii,exact,Lampetra ayresii,Lampetra ayresii
