Species,Match type,ScientificName,ScientificName_accepted
Aphia minuta,exact,Aphia minuta,Aphia minuta
Aplatophis chauliodus,exact,Aplatophis chauliodus,Aplatophis chauliodus
Apogon affinis,exact,Apogon affinis,Apogon affinis
Apogon aurolineatus,exact,Apogon aurolineatus,Apogon aurolineatus
Apogon maculatus,exact,Apogon maculatus,Apogon maculatus
Apogon phenax,exact,Apogon phenax,Apogon phenax
Apogon pseudomaculatus,exact,Apogon pseudomaculatus,Apogon pseudomaculatus
Apogon quadrisquamatus,exact,Apogon quadrisquamatus,Apogon quadrisquamatus
Apristurus brunneus,exact,Apristurus brunneus,Apristurus brunneus
Apristurus kampae,exact,Apristurus kampae,Apristurus kampae
Apristurus laurussonii,exact,Apristurus laurussonii,Apristurus laurussonii
Apsilus dentatus,exact,Apsilus dentatus,Apsilus dentatus
Aptocyclus ventricosus,exact,Aptocyclus ventricosus,Aptocyclus ventricosus
Archistes biseriatus,exact,Archistes biseriatus,Archistes biseriatus
Archistes plumarius,exact,Archistes plumarius,Archistes plumarius
Archosargus probatocephalus,exact,Archosargus probatocephalus,Archosargus probatocephalus
Archosargus rhomboidalis,exact,Archosargus rhomboidalis,Archosargus rhomboidalis
Arctogadus glacialis,exact,Arctogadus glacialis,Arctogadus glacialis
Arctozenus risso,exact,Arctozenus risso,Arctozenus risso
Argentina sialis,exact,Argentina sialis,Argentina sialis
Argentina silus,exact,Argentina silus,Argentina silus
Argentina sphyraena,exact,Argentina sphyraena,Argentina sphyraena
Argentina striata,exact,Argentina striata,Argentina striata
Argyropelecus aculeatus,exact,Argyropelecus aculeatus,Argyropelecus aculeatus
Argyropelecus affinis,exact,Argyropelecus affinis,Argyropelecus affinis
Argyropelecus hemigymnus,exact,Argyropelecus hemigymnus,Argyropelecus hemigymnus
Argyropelecus lychnus,exact,Argyropelecus lychnus,Argyropelecus lychnus
Argyropelecus olfersii,exact,Argyropelecus olfersii,Argyropelecus olfersii
Argyropelecus sladeni,exact,Argyropelecus sladeni,Argyropelecus sladeni
Argyrosomus regius,exact,Argyrosomus regius,Argyrosomus regius
Ariomma bondi,exact,Ariomma bondi,Ariomma bondi
Ariomma melanum,exact,Ariomma melanum,Ariomma melanum
Ariomma regulus,exact,Ariomma regulus,Ariomma regulus
Ariopsis felis,exact,Ariopsis felis,Ariopsis felis
Ariosoma balearicum,exact,Ariosoma balearicum,Ariosoma balearicum
Ariosoma selenops,exact,Ariosoma selenops,Ariosoma selenops
Aristostomias scintillans,exact,Aristostomias scintillans,Aristostomias scintillans
Arnoglossus imperialis,exact,Arnoglossus imperialis,Arnoglossus imperialis
Arnoglossus laterna,exact,Arnoglossus laterna,Arnoglossus laterna
Arnoglossus rueppelii,exact,Arnoglossus rueppelii,Arnoglossus rueppelii
Arnoglossus thori,exact,Arnoglossus thori,Arnoglossus thori
Artediellus atlanticus,exact,Artediellus atlanticus,Artediellus atlanticus
Artediellus miacanthus,exact,Artediellus miacanthus,Artediellus miacanthus
Artediellus pacificus,exact,Artediellus pacificus,Artediellus pacificus
Artediellus scaber,exact,Artediellus scaber,Artediellus scaber
Artediellus uncinatus,exact,Artediellus uncinatus,Artediellus uncinatus
Artedius lateralis,exact,Artedius lateralis,Artedius lateralis
Aspidophoroides monopterygius,exact,Aspidophoroides monopterygius,Aspidophoroides monopterygius
Aspidophoroides olrikii,exact,Aspidophoroides olrikii,Aspidophoroides olrikii
Astrapogon alutus,exact,Astrapogon alutus,Astrapogon alutus
Astrapogon puncticulatus,exact,Astrapogon puncticulatus,Astrapogon puncticulatus
Astroscopus guttatus,exact,Astroscopus guttatus,Astroscopus guttatus
Astroscopus y-graecum,exact,Astroscopus y-graecum,Astroscopus y-graecum
Atheresthes evermanni,exact,Atheresthes evermanni,Atheresthes evermanni
Atheresthes stomias,exact,Atheresthes stomias,Atheresthes stomias
Atherina presbyter,exact,Atherina presbyter,Atherina presbyter
Atherinops affinis,exact,Atherinops affinis,Atherinops affinis
Atherinopsis californiensis,exact,Atherinopsis californiensis,Atherinopsis californiensis
Aulorhynchus flavidus,exact,Aulorhynchus flavidus,Aulorhynchus flavidus
Aulostomus maculatus,exact,Aulostomus maculatus,Aulostomus maculatus
Auxis thazard thazard,exact,Auxis thazard thazard,Auxis thazard thazard
Avocettina infans,exact,Avocettina infans,Avocettina infans
Bagre marinus,exact,Bagre marinus,Bagre marinus
Bairdiella chrysoura,exact,Bairdiella chrysoura,Bairdiella chrysoura
Bajacalifornia burragei,exact,Bajacalifornia burragei,Bajacalifornia burragei
Bajacalifornia erimoensis,exact,Bajacalifornia erimoensis,Bajacalifornia erimoensis
Bajacalifornia megalops,exact,Bajacalifornia megalops,Bajacalifornia megalops
Balistes capriscus,exact,Balistes capriscus,Balistes capriscus
Balistes vetula,exact,Balistes vetula,Balistes vetula
Barbourisia rufa,exact,Barbourisia rufa,Barbourisia rufa
Bassozetus zenkevitchi,exact,Bassozetus zenkevitchi,Bassozetus zenkevitchi
Bathophilus flemingi,exact,Bathophilus flemingi,Bathophilus flemingi
Bathyagonus alascanus,exact,Bathyagonus alascanus,Bathyagonus alascanus
Bathyagonus infraspinatus,exact,Bathyagonus infraspinatus,Bathyagonus infraspinatus
Bathyagonus nigripinnis,exact,Bathyagonus nigripinnis,Bathyagonus nigripinnis
Bathyagonus pentacanthus,exact,Bathyagonus pentacanthus,Bathyagonus pentacanthus
Bathyanthias cubensis,exact,Bathyanthias cubensis,Bathyanthias cubensis
Bathyanthias mexicanus,exact,Bathyanthias mexicanus,Bathyanthias mexicanus
Bathycongrus vicinalis,exact,Bathycongrus vicinalis,Bathycongrus vicinalis
Bathylagus pacificus,exact,Bathylagus pacificus,Bathylagus pacificus
Bathylychnops exilis,exact,Bathylychnops exilis,Bathylychnops exilis
Bathymaster caeruleofasciatus,exact,Bathymaster caeruleofasciatus,Bathymaster caeruleofasciatus
Bathymaster leurolepis,exact,Bathymaster leurolepis,Bathymaster leurolepis
Bathymaster signatus,exact,Bathymaster signatus,Bathymaster signatus
Bathyraja abyssicola,exact,Bathyraja abyssicola,Bathyraja abyssicola
Bathyraja aleutica,exact,Bathyraja aleutica,Bathyraja aleutica
Bathyraja brachyurops,exact,Bathyraja brachyurops,Bathyraja brachyurops
Bathyraja interrupta,exact,Bathyraja interrupta,Bathyraja interrupta
Bathyraja lindbergi,exact,Bathyraja lindbergi,Bathyraja lindbergi
Bathyraja maculata,exact,Bathyraja maculata,Bathyraja maculata
Bathyraja minispinosa,exact,Bathyraja minispinosa,Bathyraja minispinosa
Bathyraja panthera,exact,Bathyraja panthera,Bathyraja panthera
Bathyraja parmifera,exact,Bathyraja parmifera,Bathyraja parmifera
Bathyraja spinicauda,exact,Bathyraja spinicauda,Bathyraja spinicauda
Bathyraja taranetzi,exact,Bathyraja taranetzi,Bathyraja taranetzi
Bathyraja trachura,exact,Bathyraja trachura,Bathyraja trachura
Bathyraja violacea,exact,Bathyraja violacea,Bathyraja violacea
Bathysolea profundicola,exact,Bathysolea profundicola,Bathysolea profundicola
Bellator brachychir,exact,Bellator brachychir,Bellator brachychir
Bellator egretta,exact,Bellator egretta,Bellator egretta
Bellator militaris,exact,Bellator militaris,Bellator militaris
Bellator xenisma,exact,Bellator xenisma,Bellator xenisma
Belone belone,exact,Belone belone,Belone belone
Bembrops anatirostris,exact,Bembrops anatirostris,Bembrops anatirostris
Bembrops gobioides,exact,Bembrops gobioides,Bembrops gobioides
Benthalbella dentata,exact,Benthalbella dentata,Benthalbella dentata
Benthocometes robustus,exact,Benthocometes robustus,Benthocometes robustus
Benthodesmus elongatus,exact,Benthodesmus elongatus,Benthodesmus elongatus
Benthodesmus pacificus,exact,Benthodesmus pacificus,Benthodesmus pacificus
Benthodesmus simonyi,exact,Benthodesmus simonyi,Benthodesmus simonyi
Benthosema glaciale,exact,Benthosema glaciale,Benthosema glaciale
Beringraja binoculata,exact,Beringraja binoculata,Beringraja binoculata
Bertella idiomorpha,exact,Bertella idiomorpha,Bertella idiomorpha
Beryx decadactylus,exact,Beryx decadactylus,Beryx decadactylus
Beryx splendens,exact,Beryx splendens,Beryx splendens
Blennius ocellaris,exact,Blennius ocellaris,Blennius ocellaris
Blepsias bilobus,exact,Blepsias bilobus,Blepsias bilobus
Bodianus pulchellus,exact,Bodianus pulchellus,Bodianus pulchellus
Bolinia euryptera,exact,Bolinia euryptera,Bolinia euryptera
Bollmannia boqueronensis,exact,Bollmannia boqueronensis,Bollmannia boqueronensis
Bollmannia communis,exact,Bollmannia communis,Bollmannia communis
Boops boops,exact,Boops boops,Boops boops
Boreogadus saida,exact,Boreogadus saida,Boreogadus saida
Borostomias panamensis,exact,Borostomias panamensis,Borostomias panamensis
Bothrocara brunneum,exact,Bothrocara brunneum,Bothrocara brunneum
Bothrocara hollandi,exact,Bothrocara hollandi,Bothrocara hollandi
Bothrocara molle,exact,Bothrocara molle,Bothrocara molle
Bothrocara nyx,exact,Bothrocara nyx,Bothrocara nyx
Bothrocara pusillum,exact,Bothrocara pusillum,Bothrocara pusillum
Bothus lunatus,exact,Bothus lunatus,Bothus lunatus
Bothus ocellatus,exact,Bothus ocellatus,Bothus ocellatus
Bothus robinsi,exact,Bothus robinsi,Bothus robinsi
Brama brama,exact,Brama brama,Brama brama
Brama japonica,exact,Brama japonica,Brama japonica
Bregmaceros atlanticus,exact,Bregmaceros atlanticus,Bregmaceros atlanticus
Bregmaceros cantori,exact,Bregmaceros cantori,Bregmaceros cantori
Brevoortia gunteri,exact,Brevoortia gunteri,Brevoortia gunteri
Brevoortia patronus,exact,Brevoortia patronus,Brevoortia patronus
Brevoortia smithi,exact,Brevoortia smithi,Brevoortia smithi
Brevoortia tyrannus,exact,Brevoortia tyrannus,Brevoortia tyrannus
Brosme brosme,exact,Brosme brosme,Brosme brosme
Brosmophycis marginata,exact,Brosmophycis marginata,Brosmophycis marginata
Brotula barbatum,near_2,Brotula barbata,Brotula barbata
Bryozoichthys lysimus,exact,Bryozoichthys lysimus,Bryozoichthys lysimus
Bryozoichthys marjorius,exact,Bryozoichthys marjorius,Bryozoichthys marjorius
Buenia jeffreysii,exact,Buenia jeffreysii,Buenia jeffreysii
Buglossidium luteum,exact,Buglossidium luteum,Buglossidium luteum
Calamus arctifrons,exact,Calamus arctifrons,Calamus arctifrons
Calamus bajonado,exact,Calamus bajonado,Calamus bajonado
Calamus calamus,exact,Calamus calamus,Calamus calamus
Calamus campechanus,exact,Calamus campechanus,Calamus campechanus
Calamus leucosteus,exact,Calamus leucosteus,Calamus leucosteus
Calamus nodosus,exact,Calamus nodosus,Calamus nodosus
Calamus penna,exact,Calamus penna,Calamus penna
Calamus proridens,exact,Calamus proridens,Calamus proridens
Callanthias ruber,exact,Callanthias ruber,Callanthias ruber
Callionymus bairdi,exact,Callionymus bairdi,Callionymus bairdi
Callionymus lyra,exact,Callionymus lyra,Callionymus lyra
Callionymus maculatus,exact,Callionymus maculatus,Callionymus maculatus
Callionymus reticulatus,exact,Callionymus reticulatus,Callionymus reticulatus
Cantherhines macrocerus,exact,Cantherhines macrocerus,Cantherhines macrocerus
Cantherhines pullus,exact,Cantherhines pullus,Cantherhines pullus
Canthidermis maculata,exact,Canthidermis maculata,Canthidermis maculata
Canthidermis sufflamen,exact,Canthidermis sufflamen,Canthidermis sufflamen
Canthigaster jamestyleri,exact,Canthigaster jamestyleri,Canthigaster jamestyleri
Canthigaster rostrata,exact,Canthigaster rostrata,Canthigaster rostrata
Capros aper,exact,Capros aper,Capros aper
Carangoides bartholomaei,exact,Carangoides bartholomaei,Carangoides bartholomaei
Caranx crysos,exact,Caranx crysos,Caranx crysos
Caranx hippos,exact,Caranx hippos,Caranx hippos
Caranx latus,exact,Caranx latus,Caranx latus
Caranx rhonchus,exact,Caranx rhonchus,Caranx rhonchus
Caranx ruber,exact,Caranx ruber,Caranx ruber
Carapus bermudensis,exact,Carapus bermudensis,Carapus bermudensis
Carcharhinus acronotus,exact,Carcharhinus acronotus,Carcharhinus acronotus
Carcharhinus brevipinna,exact,Carcharhinus brevipinna,Carcharhinus brevipinna
Carcharhinus falciformis,exact,Carcharhinus falciformis,Carcharhinus falciformis
Carcharhinus isodon,exact,Carcharhinus isodon,Carcharhinus isodon
Carcharhinus leucas,exact,Carcharhinus leucas,Carcharhinus leucas
Carcharhinus limbatus,exact,Carcharhinus limbatus,Carcharhinus limbatus
Carcharhinus obscurus,exact,Carcharhinus obscurus,Carcharhinus obscurus
Carcharhinus plumbeus,exact,Carcharhinus plumbeus,Carcharhinus plumbeus
Carcharhinus signatus,exact,Carcharhinus signatus,Carcharhinus signatus
Carcharias taurus,exact,Carcharias taurus,Carcharias taurus
Careproctus abbreviatus,exact,Careproctus abbreviatus,Careproctus abbreviatus
Careproctus bowersianus,exact,Careproctus bowersianus,Careproctus bowersianus
Careproctus canus,exact,Careproctus canus,Careproctus canus
Careproctus colletti,exact,Careproctus colletti,Careproctus colletti
Careproctus comus,exact,Careproctus comus,Careproctus comus
